Out.SubInd,PrName,Observations,Studies,Sites,RR.Shapiro.Sig,RR,RR.median,RR.var,RR.se,RR.Quantiles0.25,PC.Shapiro.Sig,PC,PC.median,PC.se,PC.var,PC.Quantiles0.25,Units,Model,MeanT.Obs,MeanT,MeanT.se,MeanC.Obs,MeanC,MeanC.se,RR.t value,RR.Pr(>|t|),RR.Sigma2,PC.t value,PC.Pr(>|t|),PC.Sigma2,RR.pc.se.low,RR.pc,RR.pc.se.high,RR.pc.jen.low,RR.pc.jen,RR.pc.jen.high,PC.pc.se.low,PC.pc,PC.pc.se.high
Return to Labour,Agroforestry Pruning-Inorganic Fertilizer,7,2,2,0.87079,0.41422,0.29725152346793154,0.17702,0.13305,-0.26236|0.15909|0.29725|0.62014|0.73943,0.79175,1.58982,1.346153846153846,0.19113,0.3653,0.76923|1.17308|1.34615|1.86726|2.09474,,lm,7,83.51,5602.24668,2,41.12,2280.85495,3.1133,0.02076,0.04426,8.31808,1.6e-4,0.09132,32.46788,51.319,72.85277,35.43207,54.70502,76.72064,39.869,58.982,78.095
Return to Labour,Agroforestry Pruning,2,2,2,NA,-0.12275,-0.37117603462953225,0.15428,0.21079,-0.37118|-0.37118|-0.37118|-0.13828|0.24988,NA,0.9275,0.689922480620155,0.20159,0.14111,0.68992|0.68992|0.68992|0.91265|1.28387,Multiple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.36218,-11.55185,9.20313,NA,17.96073,NA,-27.40909,-7.24981,12.90947
Crop Yield,Agroforestry Pruning-Alleycropping-Organic Fertilizer,27,2,2,0.54532,0.04115,0.06408740951132816,0.22668,0.07891,-0.6831|-0.38081|0.06409|0.31798|0.7988,0.17022,1.12812,1.0661855894499286,0.08804,0.28214,0.50505|0.68331|1.06619|1.37435|2.22287,Mg/ha,lm,5,1.90958,0.08865,2,1.82842,0.04465,0.52139,0.60651,0.0218,12.81353,0,0.02713,-3.7056,4.20084,12.75645,-2.65025,5.34284,13.99222,4.008,12.812,21.616
Cation Exchange Capacity,Agroforestry Pruning-Alleycropping,5,2,2,0.02642,-0.10802,-0.1112256351102245,0.04287,0.07961,-0.38299|-0.38299|-0.11123|0.0301|0.033,0.03659,0.90991,0.894736842105263,0.06708,0.0307,0.68182|0.68182|0.89474|1.03055|1.03355,cmol/kg,NA,4,6.66167,2.67126,4,7.20667,0.90932,NA,NA,NA,NA,NA,NA,-17.10846,-10.23928,-2.80086,NA,-0.69502,NA,-15.71623,-9.00851,-2.30078
Soil Moisture,Parklands,15,3,3,0.98678,0.08208,0.06495298849201055,0.01253,0.04537,-0.13935|0.01657|0.06495|0.13887|0.2712,0.99301,1.09082,1.0671088568084277,0.04916,0.0148,0.86993|1.01676|1.06711|1.14898|1.31154,Multiple,lmerModLmerTest,NA,NA,NA,NA,NA,NA,1.80896,0.21218,0.00211,22.18715,0.00203,0.0025,3.73921,8.55426,13.59281,3.84872,8.66885,13.71271,4.166,9.082,13.998
Crop Yield,Parklands,101,13,15,0.00344,-0.34454,-0.21297324573769216,0.51265,0.12928,-2.75239|-0.63169|-0.21297|0.09677|1.8718,0,0.91916,0.8082607221352308,0.09593,0.56158,0.06378|0.53169|0.80826|1.10161|6.5,Multiple,lmerModLmerTest,NA,NA,NA,NA,NA,NA,-2.66507,0.02099,0.11769,9.58155,2e-5,0.16085,-37.73807,-29.14538,-19.36682,-33.96432,-24.85082,-14.47958,-17.677,-8.084,1.509
Soil Nitrogen,Alleycropping,7,2,1,0.78365,0.00296,-0.0800427076735365,0.02225,0.0537,-0.08004|-0.08004|-0.08004|0.06446|0.31845,0.83788,1.01216,0.923076923076923,0.05885,0.02671,0.92308|0.92308|0.92308|1.06912|1.375,%,lm,4,0.15389,0.0015,2,0.1495,6.9e-4,0.05519,0.95778,0.01298,17.19997,0,0.01558,-4.94742,0.29644,5.82959,-4.32853,0.94948,6.51866,-4.669,1.216,7.101
Soil Organic Carbon,Alleycropping,9,3,2,0.02259,0.28699,-0.22327548770402716,1.07307,0.33433,-0.82668|-0.62554|-0.22328|0.19832|2.63394,5.9e-4,2.59829,0.8429516423357665,1.48376,21.1347,0.4375|0.57265|0.84295|1.21935|13.92857,Multiple,lm,NA,NA,NA,NA,NA,NA,0.85841,0.41565,0.67067,1.75116,0.11803,13.20919,-4.62369,33.24109,86.13834,33.37506,86.32551,160.29749,11.453,159.829,308.205
Soil Organic Carbon,Agroforestry Pruning-Alleycropping-Inorganic Fertilizer,13,3,2,0.68496,0.36899,0.3893955753651319,0.03654,0.05037,0.01917|0.20854|0.3894|0.47343|0.60699,0.76897,1.46782,1.476513229430953,0.07098,0.07255,1.01935|1.23285|1.47651|1.60564|1.83489,Multiple,lm,NA,NA,NA,NA,NA,NA,7.32515,1e-5,0.01522,20.67973,0,0.03023,37.52286,44.62731,52.09878,38.57341,45.73213,53.26067,39.684,46.782,53.88
Soil Moisture,Agroforestry Pruning,45,4,5,0.00795,0.05435,0.05610359549516783,0.0186,0.037,-0.26008|0.01603|0.0561|0.11406|0.38193,0.001,1.06786,1.0577072964865388,0.03812,0.02285,0.77099|1.01616|1.05771|1.12082|1.46512,Multiple,lmerModLmerTest,NA,NA,NA,NA,NA,NA,1.4691,0.23745,0.00209,28.01548,9e-5,0.00263,1.75014,5.58541,9.56524,1.85652,5.6958,9.6798,2.974,6.786,10.598
Crop Yield,Agroforestry Pruning-Alleycropping-Reduced Tillage,16,4,3,0.21078,0.06945,-0.09107044624562508,0.34138,0.23776,-1.43355|-0.20424|-0.09107|0.16705|0.91629,0.10662,1.25766,0.9131213450292398,0.30278,0.44859,0.23846|0.81634|0.91312|1.18182|2.5,Mg/ha,lmerModLmerTest,6,1.74441,0.49392,5,1.52409,0.22909,0.29212,0.80023,0.08615,4.15378,0.05586,0.09604,-15.49082,7.19185,35.96265,-11.77105,11.91002,41.9472,-4.512,25.766,56.044
Crop Yield,Agroforestry Pruning-Parklands,29,4,4,0.00526,0.67791,0.1452763794596692,0.62761,0.54454,-0.61176|-0.27268|0.14528|0.77002|2.13494,0,3.18415,1.1563744391613244,1.78975,5.55656,0.5424|0.7614|1.15637|2.15983|8.45652,Multiple,lmerModLmerTest,NA,NA,NA,NA,NA,NA,1.24493,0.30224,0.04252,1.77911,0.17343,0.06753,14.26727,96.97566,239.54965,16.7226,101.2082,246.84576,39.44,218.415,397.39
