Out.SubInd,PrName,Observations,Studies,Sites,RR.Shapiro.Sig,RR,RR.median,RR.var,RR.se,RR.Quantiles0.25,PC.Shapiro.Sig,PC,PC.median,PC.se,PC.var,PC.Quantiles0.25,Units,Model,MeanT.Obs,MeanT,MeanT.se,MeanC.Obs,MeanC,MeanC.se,RR.t value,RR.Pr(>|t|),RR.Sigma2,PC.t value,PC.Pr(>|t|),PC.Sigma2,RR.pc.se.low,RR.pc,RR.pc.se.high,RR.pc.jen.low,RR.pc.jen,RR.pc.jen.high,PC.pc.se.low,PC.pc,PC.pc.se.high
Biomass Yield,Parklands,39,7,8,0.73596,4.7e-4,0.04511794770316725,0.15253,0.13113,-1.1508|-0.28553|0.04512|0.29047|1.29783,2e-5,1.08878,1.0461812267943171,0.11627,0.17929,0.31638|0.75214|1.04618|1.33708|3.66133,Mg/ha,lmerModLmerTest,22,2.7132,0.84229,8,2.44759,0.60571,0.00359,0.99725,0.05192,9.3646,3.5e-4,0.07861,-12.24839,0.04701,14.0652,-9.94053,2.67824,17.0651,-2.749,8.878,20.505
Soil Organic Carbon,Agroforestry Pruning,160,16,17,5e-5,0.18688,0.11152470753546186,0.06274,0.03924,-0.29235|0.017|0.11152|0.22648|1.08396,0,1.2462,1.117981389094194,0.05882,0.14746,0.7465|1.01716|1.11798|1.2542|2.95635,Multiple,lmerModLmerTest,NA,NA,NA,NA,NA,NA,4.76224,2.2e-4,0.00649,21.18519,0,0.01562,15.90955,20.54826,25.37261,16.28629,20.94008,25.78011,18.738,24.62,30.502
Soil Nitrogen,Agroforestry Pruning-Organic Fertilizer,14,3,3,0.01251,0.48253,0.1509879180009272,0.16582,0.27452,0.07269|0.11826|0.15099|0.43685|1.22378,0.0013,1.76828,1.163155363155363,0.5279,0.62074,1.0754|1.12554|1.16316|1.54783|3.4,Multiple,lmerModLmerTest,NA,NA,NA,NA,NA,NA,1.75773,0.22102,0.00723,3.34966,0.07901,0.03806,23.12255,62.01682,113.19776,23.56844,62.60358,113.96986,24.038,76.828,129.618
Soil Nitrogen,Agroforestry Pruning,113,20,18,0.00814,0.2138,0.1719224716278476,0.06321,0.04501,-0.73261|0.038|0.17192|0.31017|1.1421,0,1.2816,1.1876059410041129,0.06352,0.12554,0.48065|1.03873|1.18761|1.36367|3.13333,Multiple,lmerModLmerTest,NA,NA,NA,NA,NA,NA,4.7503,2e-4,0.01182,20.17619,0,0.02349,18.38715,23.8375,29.53877,19.08889,24.57154,30.30661,21.808,28.16,34.512
Biomass Yield,Agroforestry Pruning-Organic Fertilizer,16,3,3,0.0817,0.6747,0.626488032419214,0.15514,0.15862,-0.23936|0.43855|0.62649|0.93815|1.24619,0.87979,2.07273,1.8710280373831776,0.32317,0.53274,0.78713|1.55064|1.87103|2.55577|3.47708,Mg/ha,lmerModLmerTest,6,4.49329,1.91928,6,2.17654,0.56922,4.25347,0.04907,0.03194,6.41378,0.02289,0.09484,67.5447,96.34439,130.09452,70.24187,99.50518,133.79863,74.956,107.273,139.59
Biomass Yield,Agroforestry Pruning,243,29,26,0,0.50775,0.2582338975361384,0.28891,0.11316,-0.7633|0.07425|0.25823|0.6722|2.52224,0,2.20061,1.2946417838682536,0.37383,2.59028,0.46613|1.07709|1.29464|1.95855|12.45645,Multiple,lmerModLmerTest,NA,NA,NA,NA,NA,NA,4.48684,1.7e-4,0.02741,5.88659,0,0.15346,48.37757,66.15485,86.06204,50.42508,68.44768,88.62958,82.678,120.061,157.444
Crop Yield,Agroforestry Pruning-Organic Fertilizer,25,8,8,0.00235,0.51662,0.39248051684560775,0.12414,0.08724,0.04064|0.31168|0.39248|0.55426|1.98655,0,1.80236,1.480652877444773,0.21828,0.89659,1.04147|1.36571|1.48065|1.74083|7.29032,Mg/ha,lmerModLmerTest,13,4.99081,20.69601,11,3.48306,12.36703,5.9221,4.9e-4,0.06069,8.25704,7e-5,0.48783,53.63047,67.6352,82.91658,58.36384,72.80006,88.55226,58.408,80.236,102.064
Crop Yield,Agroforestry Pruning,848,68,53,0,0.53718,0.3721898563218545,0.34609,0.07385,-1.99896|0.06453|0.37219|0.72775|2.55414,0,2.13412,1.4509087118564363,0.2175,2.75789,0.13548|1.06666|1.45091|2.07041|12.86022,Multiple,lmerModLmerTest,NA,NA,NA,NA,NA,NA,7.27365,0,0.0244,9.81186,0,0.17454,58.93577,71.11745,84.2328,60.88667,73.21787,86.49421,91.662,113.412,135.162
Crop Yield,Agroforestry Pruning-Inorganic Fertilizer,566,37,36,0,0.87558,0.6931471805599453,0.37706,0.09622,-0.39933|0.35954|0.69315|1.17865|3.55794,0,3.04611,2,0.38803,6.33458,0.67077|1.43267|2|3.25|35.09091,Multiple,lmerModLmerTest,NA,NA,NA,NA,NA,NA,9.0994,0,0.01445,7.85011,0,0.23633,118.00766,140.0267,164.2697,119.58847,141.76718,166.18597,165.808,204.611,243.414
Biomass Yield,Agroforestry Pruning-Inorganic Fertilizer,80,12,10,0.01977,0.41246,0.30911599944726675,0.14203,0.09089,-0.82526|0.14484|0.30912|0.60014|1.18562,0,1.61711,1.3622210690192007,0.14674,0.40513,0.43812|1.15586|1.36222|1.82237|3.27273,Multiple,lmerModLmerTest,NA,NA,NA,NA,NA,NA,4.53775,0.00152,0.02549,11.02044,0,0.07791,37.92916,51.05291,65.42537,39.69831,52.9904,67.54721,47.037,61.711,76.385
Soil Organic Carbon,Agroforestry Pruning-Alleycropping,32,5,4,0.56131,0.23889,0.25991471036435293,0.03906,0.07253,-0.21511|0.07062|0.25991|0.38913|0.59259,0.80799,1.29136,1.2968309979841524,0.09138,0.06422,0.80645|1.07317|1.29683|1.47571|1.80867,Multiple,lmerModLmerTest,NA,NA,NA,NA,NA,NA,3.29352,0.05121,0.0072,14.13174,0.00113,0.012,18.09982,26.98388,36.53626,18.52574,27.44185,37.02867,19.998,29.136,38.274
Crop Yield,Alleycropping,265,23,24,0,-0.05665,0.013504203435039594,0.29415,0.06798,-1.81423|-0.25131|0.0135|0.2995|1.45862,0,1.08209,1.0135959341745004,0.07493,0.36355,0.16296|0.77778|1.0136|1.34926|4.3,Multiple,lmerModLmerTest,NA,NA,NA,NA,NA,NA,-0.83329,0.41392,0.04353,14.44067,0,0.0558,-11.71765,-5.50753,1.13944,-9.77512,-3.42835,3.36487,0.716,8.209,15.702
Crop Yield,Agroforestry Pruning-Alleycropping,767,43,25,0,0.20976,0.06628412401376085,0.3465,0.0903,-1.81238|-0.16039|0.06628|0.48416|2.30259,0,1.50252,1.0685304185785176,0.17704,0.99763,0.16327|0.85181|1.06853|1.6228|10,Multiple,lmerModLmerTest,NA,NA,NA,NA,NA,NA,2.32282,0.02932,0.01629,8.48674,0,0.05725,12.68882,23.3382,34.99398,13.61042,24.34689,36.098,32.548,50.252,67.956
Crop Yield,Agroforestry Pruning-Alleycropping-Inorganic Fertilizer,223,15,9,0.01295,0.75686,0.762563123979035,0.47094,0.16336,-0.26236|0.4559|0.76256|1.30718|3.65316,0,2.76703,2.143765031660417,0.45896,13.173,0.76923|1.57767|2.14377|3.69573|38.59649,Mg/ha,lmerModLmerTest,74,2.90759,0.22832,30,1.37175,0.1161,4.63308,0.00162,0.03132,6.02896,2.7e-4,1.3051,81.03134,113.15726,150.98425,83.88861,116.52157,154.9456,130.807,176.703,222.599
Biomass Yield,Agroforestry Pruning-Alleycropping,140,14,10,7e-4,0.06677,-0.15427804995400132,0.62477,0.17263,-2.55257|-0.51328|-0.15428|0.29156|1.26362,0,1.29922,0.85706442642549,0.21312999999999999,0.51692,0.07788|0.59858|0.85706|1.33852|3.53822,Mg/ha,lmerModLmerTest,45,3.31071,1.09809,35,3.3094,0.73492,0.38679,0.70799,0.0438,6.09589,3.1e-4,0.02841,-10.04494,6.90496,27.04866,-8.0532,9.272,29.86172,8.609,29.922,51.235
Biomass Yield,Agroforestry Pruning-Alleycropping-Inorganic Fertilizer,90,4,3,1.1e-4,0.65711,0.9425091657123822,0.56046,0.4489,-0.57477|-0.26568|0.94251|1.25003|1.51238,0.04429,2.39544,2.5664681383970174,0.82467,2.16033,0.56283|0.76851|2.56647|3.49045|4.53754,Mg/ha,lmerModLmerTest,20,4.74079,2.0762,12,2.52619,0.37833,1.46383,0.28085,0.00869,2.90472,0.10101,0.05088,23.14718,92.92089,202.22754,23.68341,93.76095,203.54358,57.077,139.544,222.011
Gross Return,Agroforestry Pruning-Inorganic Fertilizer,3,2,2,0.31615,0.13621,0.07820266134977769,0.01117,0.03781,0.07332|0.07332|0.0782|0.11971|0.51737,0.2577,1.15261,1.0815396309498846,0.04772,0.02021,1.07607|1.07607|1.08154|1.12799|1.6776,Multiple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.33942,14.59168,19.00781,NA,19.67455,NA,10.48874,15.26068,20.03262
Gross Return,Agroforestry Pruning,5,3,3,0.2725,-0.01531,-0.12111737850695009,0.09884,0.10344,-0.12112|-0.12112|-0.12112|-0.12112|1.08286,0.29026,1.04905,0.8859299643531139,0.16156,0.2654,0.88593|0.88593|0.88593|0.88593|2.95312,Multiple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.19656,-1.51916,9.21284,NA,14.74594,NA,-11.25094,4.90502,21.06099
Beneficial Organisms,Agroforestry Pruning,12,2,2,0.72779,1.17269,0.5596157879354227,3.06363,0.4309,-0.70819|0.02528|0.55962|2.09495|4.48257,2e-5,10.30625,1.75,6.31098,657.17061,0.49254|1.03634|1.75|8.125|88.46154,,lm,3,136.35125,36.2067,2,38.85375,595.07113,2.72148,0.01988,0.55702,1.63307,0.13072,119.48557,109.96906,223.06715,397.08458,177.40268,326.82333,556.72817,299.527,930.625,1561.723
Cation Exchange Capacity,Agroforestry Pruning,14,4,4,0.09991,0.08885,0.06845594760964854,0.00611,0.03126,0|0.00422|0.06846|0.14497|0.22924,0.10855,1.09538,1.07138969521045,0.03378,0.00736,1|1.00423|1.07139|1.15605|1.25765,cmol/kg,lmerModLmerTest,10,19.42846,138.93637,5,18.82154,200.14009,2.84219,0.06615,0.00156,32.42858,7e-5,0.00195,5.92806,9.29167,12.76209,6.01072,9.37695,12.85008,6.16,9.538,12.916
Soil Nitrogen,Agroforestry Pruning-Inorganic Fertilizer,35,9,8,0.00173,0.39252,0.1897847975813749,0.19381,0.15901,-0.11778|0.05403|0.18978|0.40256|1.44345,0,1.68195,1.209090909090909,0.37299,0.94608,0.88889|1.05556|1.20909|1.49565|4.23529,Multiple,lmerModLmerTest,NA,NA,NA,NA,NA,NA,2.46846,0.04301,0.01621,4.50941,0.00278,0.04369,26.30255,48.07075,73.59069,27.33039,49.27574,75.00336,30.896,68.195,105.494
